"init_id","title","init_text"
"09-0046","PROHIBITS PUBLIC FUNDING OF SCHOOLS THROUGH TAXES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0046%20%28i843_initiative_09-0046%29.pdf"
"09-0045","ELIMINATES STATE INCOME AND PROPERTY TAXES FOR ALL RESIDENTS 55 YEARS AND OLDER.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0045%20%28i842_initiative_09-0045%29.pdf"
"09-0044","CHANGES CALIFORNIA LAW TO LEGALIZE MARIJUANA AND RELEASE NON-VIOLENT MARIJUANA OFFENDERS FROM JAIL.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0044%20%28i841_initiative_09-0044%29.pdf"
"09-0043","CHANGES CONSTITUTIONAL DEFINITION OF A PERSON TO INCLUDE FERTILIZED HUMAN EGGS.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0043%20%28i840_initiative_09-0043%29.pdf"
"09-0042","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0042%20%28i839_initiative_09-0042%29.pdf"
"09-0041","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0041%20%28i838_initiative_09-0041%29.pdf"
"09-0040","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0040%20%28i837_initiative_09-0040%29.pdf"
"09-0039","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0039%20%28i836_initiative_09-0039%29.pdf"
"09-0038","CHANGES LAWS GOVERNING BALLOT MEASURES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0038%20%28i835_09-0038_amdt_2s%29.pdf"
"09-0037","CHANGES LEGISLATIVE VOTE REQUIREMENT TO PASS A BUDGET OR RAISE TAXES FROM TWO-THIRDS TO A SIMPLE MAJORITY.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0037%20%28i833_initiative_09-0037%29.pdf"
"09-0036","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0036%20%28i834_initiaitve_09-0036%29.pdf"
"09-0035","""California Taxpayer Protection Act."" [V-3]","http://oag.ca.gov/system/files/initiatives/pdfs/09-0035%20%28i832_initiative_09-0035%29.pdf"
"09-0034","""California Cancer Research Act.""","http://oag.ca.gov/system/files/initiatives/pdfs/09-0034%20%28i831_initiative_09-0034%29.pdf"
"09-0033","CREATES SPECIAL CONSTITUTIONAL RULE FOR SPEECH BASED ON THE BIBLE.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0033%20%28i830_initiative_09-0033_%28a1-s%29%29.pdf"
